order_id,user_id,product_id,quantity,amount,order_date
1870,485,100002,7,25,2024-03-07
1871,509,100061,21,131,2024-03-07
1872,483,100093,87,224,2024-03-07
1873,485,100083,75,28,2024-03-07
1874,503,100070,36,203,2024-03-07
1875,489,100047,4,15,2024-03-07
1876,482,100053,68,101,2024-03-07
1877,487,100019,39,55,2024-03-07
1878,512,100048,8,172,2024-03-07
1879,495,100015,60,203,2024-03-07
1880,502,100054,96,110,2024-03-07
1881,506,100015,95,30,2024-03-07
1882,487,100091,57,114,2024-03-07
1883,494,100068,12,105,2024-03-07
1884,507,100088,94,86,2024-03-07
1885,502,100010,47,201,2024-03-07
1886,510,100050,99,240,2024-03-07
1887,508,100039,40,30,2024-03-07
1888,509,100060,50,206,2024-03-07
1889,490,100014,91,53,2024-03-07
1890,508,100012,58,124,2024-03-07
1891,506,100021,41,229,2024-03-07
1892,505,100064,28,88,2024-03-07
1893,498,100052,2,54,2024-03-07
1894,506,100001,16,193,2024-03-07
1895,490,100039,74,16,2024-03-07
1896,506,100031,20,133,2024-03-07
1897,512,100065,63,33,2024-03-07
1898,499,100069,12,102,2024-03-07
1899,483,100015,32,68,2024-03-07
1900,515,100074,27,229,2024-03-07
1901,512,100071,85,58,2024-03-07
1902,490,100079,72,28,2024-03-07
1903,509,100027,74,190,2024-03-07
1904,508,100082,37,30,2024-03-07
1905,486,100025,52,36,2024-03-07
1906,514,100050,70,134,2024-03-07
1907,487,100062,61,180,2024-03-07
1908,485,100041,28,95,2024-03-07
1909,490,100002,47,178,2024-03-07
1910,487,100036,88,60,2024-03-07
1911,489,100007,67,197,2024-03-07
1912,483,100024,38,204,2024-03-07
1913,485,100052,95,165,2024-03-07
1914,482,100066,94,57,2024-03-07
1915,513,100093,84,229,2024-03-07
1916,481,100068,59,236,2024-03-07
1917,488,100021,44,120,2024-03-07
1918,494,100048,2,52,2024-03-07
1919,506,100017,98,216,2024-03-07
1920,511,100071,56,226,2024-03-07
1921,510,100089,64,213,2024-03-07
1922,517,100035,72,206,2024-03-07
1923,516,100066,67,197,2024-03-07
1924,491,100092,14,160,2024-03-07
1925,481,100053,66,116,2024-03-07
1926,512,100071,35,152,2024-03-07
1927,507,100017,24,141,2024-03-07
1928,493,100039,59,118,2024-03-07
1929,508,100056,48,104,2024-03-07
1930,496,100043,35,216,2024-03-07
1931,486,100095,16,111,2024-03-07
1932,515,100048,36,203,2024-03-07
1933,494,100099,66,213,2024-03-07
1934,487,100045,62,202,2024-03-07
