order_id,user_id,product_id,quantity,amount,order_date
1526,504,100066,6,243,2024-03-05
1527,495,100001,33,215,2024-03-05
1528,508,100024,52,82,2024-03-05
1529,507,100040,19,54,2024-03-05
1530,481,100047,34,133,2024-03-05
1531,480,100029,11,244,2024-03-05
1532,511,100033,43,182,2024-03-05
1533,513,100016,11,77,2024-03-05
1534,511,100081,79,222,2024-03-05
1535,498,100053,39,108,2024-03-05
1536,492,100015,53,86,2024-03-05
1537,515,100058,12,201,2024-03-05
1538,513,100028,27,71,2024-03-05
1539,496,100096,10,197,2024-03-05
1540,512,100094,20,128,2024-03-05
1541,480,100018,87,12,2024-03-05
1542,517,100004,91,168,2024-03-05
1543,517,100065,8,60,2024-03-05
1544,483,100029,14,118,2024-03-05
1545,507,100042,11,156,2024-03-05
1546,506,100040,46,70,2024-03-05
1547,506,100016,40,208,2024-03-05
1548,480,100055,14,112,2024-03-05
1549,490,100098,44,83,2024-03-05
1550,494,100033,78,227,2024-03-05
1551,517,100078,3,46,2024-03-05
1552,484,100091,34,22,2024-03-05
1553,500,100091,86,172,2024-03-05
1554,512,100051,29,110,2024-03-05
1555,517,100035,81,212,2024-03-05
1556,483,100094,83,173,2024-03-05
1557,490,100033,15,206,2024-03-05
1558,506,100075,44,32,2024-03-05
1559,516,100091,87,195,2024-03-05
1560,501,100030,41,144,2024-03-05
1561,514,100054,46,202,2024-03-05
1562,487,100074,94,47,2024-03-05
1563,490,100023,2,182,2024-03-05
1564,489,100015,8,189,2024-03-05
1565,486,100066,42,66,2024-03-05
1566,514,100017,33,15,2024-03-05
1567,498,100002,16,233,2024-03-05
1568,507,100046,1,56,2024-03-05
1569,498,100092,8,32,2024-03-05
1570,488,100041,43,94,2024-03-05
1571,515,100030,17,51,2024-03-05
1572,512,100062,73,34,2024-03-05
1573,508,100030,21,155,2024-03-05
1574,516,100054,4,119,2024-03-05
1575,508,100088,71,206,2024-03-05
1576,514,100014,5,154,2024-03-05
1577,486,100031,46,158,2024-03-05
1578,483,100086,66,72,2024-03-05
1579,497,100016,1,63,2024-03-05
1580,509,100082,97,226,2024-03-05
1581,488,100042,31,184,2024-03-05
1582,512,100025,18,40,2024-03-05
1583,480,100081,67,148,2024-03-05
1584,511,100041,70,154,2024-03-05
1585,499,100035,97,115,2024-03-05
1586,495,100099,88,145,2024-03-05
1587,491,100017,24,249,2024-03-05
1588,482,100032,25,155,2024-03-05
1589,494,100084,93,180,2024-03-05
1590,490,100036,63,204,2024-03-05
1591,511,100070,20,224,2024-03-05
1592,493,100094,85,229,2024-03-05
1593,494,100035,20,46,2024-03-05
1594,498,100040,8,191,2024-03-05
1595,482,100072,73,145,2024-03-05
1596,494,100070,91,97,2024-03-05
1597,502,100022,15,73,2024-03-05
1598,486,100090,16,220,2024-03-05
1599,497,100055,2,170,2024-03-05
1600,492,100009,1,111,2024-03-05
1601,480,100089,10,99,2024-03-05
1602,512,100021,59,181,2024-03-05
1603,504,100042,39,41,2024-03-05
1604,509,100006,36,74,2024-03-05
1605,495,100010,86,142,2024-03-05
1606,482,100089,74,17,2024-03-05
1607,505,100042,51,106,2024-03-05
1608,506,100089,21,73,2024-03-05
1609,505,100032,69,222,2024-03-05
1610,504,100064,93,32,2024-03-05
1611,511,100035,63,121,2024-03-05
1612,498,100024,63,47,2024-03-05
1613,503,100025,88,97,2024-03-05
1614,513,100060,43,71,2024-03-05
1615,498,100074,21,53,2024-03-05
1616,488,100045,29,246,2024-03-05
1617,516,100052,77,174,2024-03-05
1618,499,100072,3,130,2024-03-05
1619,496,100028,15,50,2024-03-05
1620,517,100094,30,131,2024-03-05
1621,481,100041,45,21,2024-03-05
1622,517,100023,96,208,2024-03-05
1623,491,100072,12,176,2024-03-05
1624,493,100032,59,246,2024-03-05
1625,482,100054,12,23,2024-03-05
1626,499,100042,98,45,2024-03-05
1627,508,100045,72,42,2024-03-05
1628,509,100005,93,83,2024-03-05
1629,504,100009,60,123,2024-03-05
1630,506,100058,95,104,2024-03-05
1631,501,100029,55,96,2024-03-05
1632,486,100033,69,189,2024-03-05
1633,486,100057,56,113,2024-03-05
1634,506,100007,34,113,2024-03-05
1635,494,100046,27,46,2024-03-05
1636,508,100081,73,226,2024-03-05
1637,509,100022,95,160,2024-03-05
1638,499,100070,86,63,2024-03-05
1639,495,100060,5,219,2024-03-05
1640,495,100044,69,115,2024-03-05
1641,501,100077,79,169,2024-03-05
1642,497,100013,7,219,2024-03-05
1643,509,100099,17,203,2024-03-05
1644,503,100086,55,121,2024-03-05
1645,507,100063,72,171,2024-03-05
1646,510,100028,95,181,2024-03-05
1647,506,100084,9,217,2024-03-05
1648,488,100020,87,12,2024-03-05
1649,497,100083,19,16,2024-03-05
1650,509,100040,6,175,2024-03-05
1651,500,100066,23,135,2024-03-05
1652,493,100044,73,139,2024-03-05
1653,511,100050,43,176,2024-03-05
1654,493,100052,28,201,2024-03-05
1655,490,100093,8,29,2024-03-05
1656,507,100080,67,88,2024-03-05
1657,483,100051,19,212,2024-03-05
1658,516,100077,51,138,2024-03-05
1659,490,100061,46,87,2024-03-05
1660,480,100019,73,114,2024-03-05
1661,506,100040,71,82,2024-03-05
1662,504,100093,99,60,2024-03-05
1663,514,100031,31,65,2024-03-05
1664,506,100098,5,230,2024-03-05
1665,495,100092,31,109,2024-03-05
1666,500,100035,77,58,2024-03-05
1667,500,100036,19,160,2024-03-05
1668,488,100040,31,76,2024-03-05
1669,516,100077,75,48,2024-03-05
1670,492,100007,81,201,2024-03-05
1671,503,100065,39,73,2024-03-05
1672,484,100097,43,226,2024-03-05
1673,516,100051,94,47,2024-03-05
1674,484,100095,40,172,2024-03-05
1675,480,100063,21,82,2024-03-05
1676,483,100078,54,213,2024-03-05
1677,495,100070,69,75,2024-03-05
1678,483,100005,9,214,2024-03-05
1679,514,100006,77,59,2024-03-05
1680,504,100090,79,87,2024-03-05
1681,511,100029,86,102,2024-03-05
